DescontoIR__c;DescricaoCarencia__c;DescricaoEmissor__c;DescricaoProduto__c;DiasVencimento__c;FiltroValorMinimo__c;RiscoAtivo__c;TaxaEmissao__c;TaxaPreEmissao__c;TipoIndexador__c
15.0;No venc.;BANCO BS2 S.A.;CDB POS;1081.0;1000.0;2.0;125.0;0.0;CDI
15.0;No venc.;BANCO INDUSVAL S.A.;CDB POS;721.0;5000.0;4.0;122.0;0.0;CDI
15.0;No venc.;BANCO ALFA S/A;CDB POS;721.0;5000.0;2.0;103.25;0.0;CDI
15.0;No venc.;BANCO ALFA S/A;CDB POS;1081.0;5000.0;3.0;104.0;0.0;CDI
15.0;No venc.;BANCO PINE S.A.;CDB PRE;721.0;5000.0;3.0;0.0;06.02;Pré fixado
15.0;No venc.;BANCO MÁXIMA S.A.;CDB POS 1;731.0;1000.0;5.0;100.0;1.6;IPCA
15.0;No venc.;BANCO BS2 S.A.;CDB POS;721.0;1000.0;2.0;123.0;0.0;CDI
15.0;No venc.;BANCO ABC BRASIL;LCA PRE;1081.0;10000.0;2.0;0.0;5.5;Pré fixado
17.5;No venc.;BANCO MÁXIMA S.A.;CDB POS 1;367.0;1000.0;5.0;100.0;0.8;IPCA
20.0;No venc.;BANCO BMG S.A.;CDB POS 1;181.0;1000.0;2.0;108.0;0.0;CDI
17.5;No venc.;BANCO BMG S.A.;CDB POS 1;361.0;1000.0;2.0;113.0;0.0;CDI
15.0;No venc.;BANCO BMG S.A.;CDB POS 1;721.0;1000.0;2.0;117.0;0.0;CDI
15.0;No venc.;BANCO BMG S.A.;CDB POS 1;1081.0;1000.0;3.0;119.0;0.0;CDI
15.0;No venc.;BANCO BMG S.A.;CDB POS 1;1440.0;1000.0;4.0;121.0;0.0;CDI
15.0;No venc.;BANCO BMG S.A.;CDB POS 1;1802.0;1000.0;4.0;122.0;0.0;CDI
22.5;No venc.;BANCO BTG PACTUAL S.A.;LCI POS;90.0;1000.0;1.0;96.0;0.0;CDI
22.5;No venc.;BANCO BTG PACTUAL S.A.;LCI POS;180.0;1000.0;1.0;96.0;0.0;CDI
20.0;No venc.;BANCO BTG PACTUAL S.A.;LCI POS;360.0;1000.0;1.0;96.0;0.0;CDI
17.5;No venc.;BANCO BTG PACTUAL S.A.;LCI POS;542.0;1000.0;2.0;97.0;0.0;CDI
17.5;No venc.;BANCO BTG PACTUAL S.A.;LCI POS;720.0;1000.0;2.0;98.0;0.0;CDI
15.0;No venc.;BANCO MÁXIMA S.A.;CDB POS 1;1096.0;1000.0;5.0;100.0;2.4;IPCA
15.0;No venc.;BANCO MÁXIMA S.A.;CDB POS 1;1827.0;1000.0;5.0;100.0;3.5;IPCA
22.5;No venc.;BANCO INDUSVAL S.A.;CDB POS;90.0;5000.0;3.0;111.0;0.0;CDI
