DescricaoTaxaPerformance__c;DescricaoTributacao__c;FamiliaCarteira__c;FiltroValorMinimo__c;ProdutoId;LucroMesAnterior__c;PatrimonioLiquidoAtual__c;RentabilidadeAno__c;RentabilidadeFundoUltimos36Meses__c;RentabilidadeMes__c;RiscoAtivo__c;TipoCarteira__c
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;5000.0;a0W3u000009PBevEAG;224.328.256;63313346.73;400.130.035;0.0;171.944.576;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;5000.0;a0W3u000009PBfAEAW;-44.578.959.999.999.900;4805840752.92;133.401.602;15.760.819.943;178.777.534;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do SMLL;15%;Renda Variável;500.0;a0W3u000009PBlwEAG;736.182.167;174469655.29;1.132.308.654;0.0;368.964.014;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;500.0;a0W3u000009PBm6EAG;488.324.167;74075740.07;817.807.263;34.851.941.397;314.142.747;5.0;Fundo de Ações
20% sobre o que exceder a 100% do CDI;15%;Renda Variável;5000.0;a0W3u000009PCgiEAG;387.455.804;676049290.93;69.456.953;12.591.130.701;295.658.275;5.0;FIC de Fundo de Ações
Não;15%;Renda Variável;5000.0;a0W3u000009PCjNEAW;629.846.485;252720729.28;971.380.845;13.717.616.449;321.297.548;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;10000.0;a0W3u000009PCs3EAG;-75.370.999;550468712.56;128.527.737;12.858.602.676;205.447.212;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do IBRX;15%;Renda Variável;10000.0;a0W3u000009PCs8EAG;143.224.867;119101334.83;396.517.611;0.0;249.716.187;5.0;Fundo de Ações
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;25000.0;a0W3u000009PDsgEAG;-156.812.322;2406046.02;-65.609.068;0.0;92.656.218;4.0;FIC de Fundo Multimercado
Não;Come Cotas;Renda Fixa;5000.0;a0W3u000009PDzcEAG;31.427.825;20640512.27;70.402.727;0.0;38.852.796;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;5000.0;a0W3u000009PE0GEAW;1.222.707;486729875.8;168.076.057;8.882.442.514;166.832.951;5.0;FIC de Fundo de Ações
Não;Come Cotas;Renda Fixa;1000.0;a0W3u000009PE4XEAW;235.973.859;64256400.07;64.557.059;3.279.837.187;64.557.059;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;10000.0;a0W3u000009PE5LEAW;-91.934.606;17.823.313.228.632;-6.942.398;258.216.069;85.780.831;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;3000.0;a0W3u000009PE5fEAG;52.621.277;181.473.856.053.597;55.320.016;2.530.796.619;2.684.612;3.0;FIC de Fundo de Renda Fixa
20% sobre o que exceder a 100% do IMA-B5;Come Cotas;Renda Fixa;5000.0;a0W3u000009PE6YEAW;48.299.084;64185583.14;58.633.625;385.331.063;10.284.866;3.0;FIC de Fundo de Renda Fixa
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;1000.0;a0W3u000009PE8yEAG;8.059.038;78864366.09;194.721.516;7.750.520.875;186.512.167;5.0;FIC de Fundo de Ações
Não;Come Cotas;Renda Fixa;1000.0;a0W3u000009PE9DEAW;37.665.165;1899601288.95;42.702.958;2.296.856.288;5.018.889;3.0;Fundo de Renda Fixa
20% sobre o que exceder a 100% do IMAB;Come Cotas;Renda Fixa;5000.0;a0W3u000009PE9IEAW;19.601.204;133684798.14;56.040.298;5.263.201.052;36.367.809;3.0;FIC de Fundo de Renda Fixa
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;5000.0;a0W3u00000AdCOcEAN;-204.142.285;170516487.85;71.180.676;12.432.924.167;281.060.597;5.0;Fundo de Ações
20% sobre o que exceder a 100% do CDI;15%;Renda Variável;10000.0;a0W3u00000AdCRlEAN;-3.795.336;53698697.19;246.415.068;13.829.935.703;250.305.403;5.0;FIC de Fundo de Ações
Não;Come Cotas;Renda Fixa;500.0;a0W3u00000AdCmFEAV;41.277.357;1203081773.22;45.247.922;2.480.181.301;3.954.243;3.0;Fundo de Renda Fixa
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;5000.0;a0W3u00000AdCnhEAF;212.167.126;327987962.44;32.888.664;919.619.676;11.429.456;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W3u00000AdCuTEAV;12.358.777;208837549.28;35.211.006;4.066.262.613;22.824.021;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;20000.0;a0W3u00000AdDrkEAF;-15.325.134;121.196.942.131.034;-14.520.401;2.645.314.501;805.968;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;20000.0;a0W3u00000AdDrzEAF;157.052.882;37.801.951.120.179.900;268.791.889;0.0;110.011.249;5.0;FIC de Fundo Multimercado
Não;Come Cotas;Renda Fixa;1000.0;a0W3u00000AdDsOEAV;36.162.584;992495561.02;34.250.404;2.359.749.352;-190.529;3.0;Fundo de Renda Fixa
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;1000.0;a0W3u00000AdDtWEAV;77.417.819;68192728.28;193.662.524;9.270.198.333;115.351.678;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 105% do CDI;Come Cotas;Renda Fixa;1000.0;a0W3u00000AdDutEAF;43.954.642;75958668.93;46.408.679.999.999.900;0.0;2.443.298;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;10000.0;a0W3u00000AdEEoEAN;97.350.344;173140847.82;176.682.077;322.621.968;78.566.881;4.0;FIC de Fundo Multimercado
Não;Come Cotas;Renda Fixa;1000.0;a0W3u00000AdEFNEA3;33.902.555;888616728.45;34.982.188;2.232.569.167;1.075.986;2.0;Fundo de Renda Fixa
Não;Come Cotas;Renda Fixa;1000.0;a0W3u00000AdEFmEAN;36.073.706;410022669.86;33.820.327;0.0;-2.245.279;4.0;Fundo de Renda Fixa
Não;Come Cotas;Renda Fixa;1000.0;a0W3u00000AdEGBEA3;42.041.219;2328662717.22;42.259.599;2.494.551.578;217.466;3.0;Fundo de Renda Fixa
20% sobre o que exceder a 100% do IMAB;Come Cotas;Renda Fixa;5000.0;a0W3u00000AdEYCEA3;-210.225.771;990432233.77;-14.868.048.999.999.900;9.415.605.442;62.866.905;5.0;FIC de Fundo Multimercado
Não;Come Cotas;Renda Fixa;100.0;a0W3u00000AdFaXEAV;4.546.831;108584970.82;48.348.429;0.0;2.867.083;4.0;FIC de Fundo Multimercado
Não;Come Cotas;Renda Fixa;1000.0;a0W3u00000AdFb1EAF;44.135.845;155456581.14;46.826.919;2.326.054.371;2.679.249;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W3u00000AdFiHEAV;-230.028.801;25.549.213.250.908;-157.132.675;2.615.467.138;74.612.426;4.0;FIC de Fundo Multimercado
