,label_cli,ProdutoId,Unnamed: 0,DescricaoTaxaPerformance__c,DescricaoTributacao__c,FamiliaCarteira__c,FiltroValorMinimo__c,LucroMesAnterior__c,PatrimonioLiquidoAtual__c,RentabilidadeAno__c,RentabilidadeFundoUltimos36Meses__c,RentabilidadeMes__c,RiscoAtivo__c,TipoCarteira__c,label
0,0,a0W3u000009PBfAEAW,1,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,50000.0,-4.45789599999999e+16,480584075292.0,133401602.0,15760819943.0,178777534.0,5.0,FIC de Fundo de Ações,0
1,1,a0W3u000009PBfAEAW,1,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,50000.0,-4.45789599999999e+16,480584075292.0,133401602.0,15760819943.0,178777534.0,5.0,FIC de Fundo de Ações,0
2,2,a0W3u000009PBfAEAW,1,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,50000.0,-4.45789599999999e+16,480584075292.0,133401602.0,15760819943.0,178777534.0,5.0,FIC de Fundo de Ações,0
3,3,a0W3u000009PBfAEAW,1,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,50000.0,-4.45789599999999e+16,480584075292.0,133401602.0,15760819943.0,178777534.0,5.0,FIC de Fundo de Ações,0
4,4,a0W3u000009PBfAEAW,1,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,50000.0,-4.45789599999999e+16,480584075292.0,133401602.0,15760819943.0,178777534.0,5.0,FIC de Fundo de Ações,0
5,5,a0W3u000009PBfAEAW,1,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,50000.0,-4.45789599999999e+16,480584075292.0,133401602.0,15760819943.0,178777534.0,5.0,FIC de Fundo de Ações,0
6,6,a0W3u000009PBfAEAW,1,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,50000.0,-4.45789599999999e+16,480584075292.0,133401602.0,15760819943.0,178777534.0,5.0,FIC de Fundo de Ações,0
7,0,a0W3u000009PBlwEAG,2,20% sobre o que exceder a 100% do SMLL,15%,Renda Variável,5000.0,736182167.0,17446965529.0,1132308654.0,0.0,368964014.0,5.0,FIC de Fundo de Ações,0
8,1,a0W3u000009PBlwEAG,2,20% sobre o que exceder a 100% do SMLL,15%,Renda Variável,5000.0,736182167.0,17446965529.0,1132308654.0,0.0,368964014.0,5.0,FIC de Fundo de Ações,0
9,2,a0W3u000009PBlwEAG,2,20% sobre o que exceder a 100% do SMLL,15%,Renda Variável,5000.0,736182167.0,17446965529.0,1132308654.0,0.0,368964014.0,5.0,FIC de Fundo de Ações,0
