,label_cli,ProdutoId,Unnamed: 0,DescontoIR__c,DescricaoCarencia__c,DescricaoEmissor__c,DescricaoProduto__c,DiasVencimento__c,FiltroValorMinimo__c,RiscoAtivo__c,TaxaEmissao__c,TaxaPreEmissao__c,TipoIndexador__c,Indice_Basileia,Indice_Imobilizacao,label
0,0,a0W3u000009PC0MEAW,0,15.0,No venc.,BANCO BS2 S.A.,CDB POS,1081.0,1000.0,2.0,125.0,0.0,CDI,0.1132,0.1739,4
1,1,a0W3u000009PC0MEAW,0,15.0,No venc.,BANCO BS2 S.A.,CDB POS,1081.0,1000.0,2.0,125.0,0.0,CDI,0.1132,0.1739,4
2,2,a0W3u000009PC0MEAW,0,15.0,No venc.,BANCO BS2 S.A.,CDB POS,1081.0,1000.0,2.0,125.0,0.0,CDI,0.1132,0.1739,4
3,3,a0W3u000009PC0MEAW,0,15.0,No venc.,BANCO BS2 S.A.,CDB POS,1081.0,1000.0,2.0,125.0,0.0,CDI,0.1132,0.1739,4
4,4,a0W3u000009PC0MEAW,0,15.0,No venc.,BANCO BS2 S.A.,CDB POS,1081.0,1000.0,2.0,125.0,0.0,CDI,0.1132,0.1739,4
5,5,a0W3u000009PC0MEAW,0,15.0,No venc.,BANCO BS2 S.A.,CDB POS,1081.0,1000.0,2.0,125.0,0.0,CDI,0.1132,0.1739,4
6,6,a0W3u000009PC0MEAW,0,15.0,No venc.,BANCO BS2 S.A.,CDB POS,1081.0,1000.0,2.0,125.0,0.0,CDI,0.1132,0.1739,4
7,0,a0W3u000009PCOHEA4,6,15.0,No venc.,BANCO BS2 S.A.,CDB POS,721.0,1000.0,2.0,123.0,0.0,CDI,0.1132,0.1739,4
8,2,a0W3u000009PCOHEA4,6,15.0,No venc.,BANCO BS2 S.A.,CDB POS,721.0,1000.0,2.0,123.0,0.0,CDI,0.1132,0.1739,4
9,3,a0W3u000009PCOHEA4,6,15.0,No venc.,BANCO BS2 S.A.,CDB POS,721.0,1000.0,2.0,123.0,0.0,CDI,0.1132,0.1739,4
10,4,a0W3u000009PCOHEA4,6,15.0,No venc.,BANCO BS2 S.A.,CDB POS,721.0,1000.0,2.0,123.0,0.0,CDI,0.1132,0.1739,4
11,5,a0W3u000009PCOHEA4,6,15.0,No venc.,BANCO BS2 S.A.,CDB POS,721.0,1000.0,2.0,123.0,0.0,CDI,0.1132,0.1739,4
12,6,a0W3u000009PCOHEA4,6,15.0,No venc.,BANCO BS2 S.A.,CDB POS,721.0,1000.0,2.0,123.0,0.0,CDI,0.1132,0.1739,4
13,0,a0W3u000009PDnMEAW,9,20.0,No venc.,BANCO BMG S.A.,CDB POS 1,181.0,1000.0,2.0,108.0,0.0,CDI,0.138,0.1906,4
14,2,a0W3u000009PDnMEAW,9,20.0,No venc.,BANCO BMG S.A.,CDB POS 1,181.0,1000.0,2.0,108.0,0.0,CDI,0.138,0.1906,4
15,3,a0W3u000009PDnMEAW,9,20.0,No venc.,BANCO BMG S.A.,CDB POS 1,181.0,1000.0,2.0,108.0,0.0,CDI,0.138,0.1906,4
16,4,a0W3u000009PDnMEAW,9,20.0,No venc.,BANCO BMG S.A.,CDB POS 1,181.0,1000.0,2.0,108.0,0.0,CDI,0.138,0.1906,4
17,5,a0W3u000009PDnMEAW,9,20.0,No venc.,BANCO BMG S.A.,CDB POS 1,181.0,1000.0,2.0,108.0,0.0,CDI,0.138,0.1906,4
18,6,a0W3u000009PDnMEAW,9,20.0,No venc.,BANCO BMG S.A.,CDB POS 1,181.0,1000.0,2.0,108.0,0.0,CDI,0.138,0.1906,4
19,0,a0W3u000009PDnREAW,10,17.5,No venc.,BANCO BMG S.A.,CDB POS 1,361.0,1000.0,2.0,113.0,0.0,CDI,0.138,0.1906,4
20,1,a0W3u000009PDnREAW,10,17.5,No venc.,BANCO BMG S.A.,CDB POS 1,361.0,1000.0,2.0,113.0,0.0,CDI,0.138,0.1906,4
21,2,a0W3u000009PDnREAW,10,17.5,No venc.,BANCO BMG S.A.,CDB POS 1,361.0,1000.0,2.0,113.0,0.0,CDI,0.138,0.1906,4
22,3,a0W3u000009PDnREAW,10,17.5,No venc.,BANCO BMG S.A.,CDB POS 1,361.0,1000.0,2.0,113.0,0.0,CDI,0.138,0.1906,4
