,DescricaoTaxaPerformance__c,DescricaoTributacao__c,FamiliaCarteira__c,FiltroValorMinimo__c,ProdutoId,LucroMesAnterior__c,PatrimonioLiquidoAtual__c,RentabilidadeAno__c,RentabilidadeFundoUltimos36Meses__c,RentabilidadeMes__c,RiscoAtivo__c,TipoCarteira__c,label
0,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,50000.0,a0W3u000009PBevEAG,224328256.0,6331334673.0,400130035.0,0.0,171944576.0,5.0,FIC de Fundo de Ações,0
1,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,50000.0,a0W3u000009PBfAEAW,-4.45789599999999e+16,480584075292.0,133401602.0,15760819943.0,178777534.0,5.0,FIC de Fundo de Ações,0
2,20% sobre o que exceder a 100% do SMLL,15%,Renda Variável,5000.0,a0W3u000009PBlwEAG,736182167.0,17446965529.0,1132308654.0,0.0,368964014.0,5.0,FIC de Fundo de Ações,0
3,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,5000.0,a0W3u000009PBm6EAG,488324167.0,7407574007.0,817807263.0,34851941397.0,314142747.0,5.0,Fundo de Ações,0
4,20% sobre o que exceder a 100% do CDI,15%,Renda Variável,50000.0,a0W3u000009PCgiEAG,387455804.0,67604929093.0,69456953.0,12591130701.0,295658275.0,5.0,FIC de Fundo de Ações,0
5,Não,15%,Renda Variável,50000.0,a0W3u000009PCjNEAW,629846485.0,25272072928.0,971380845.0,13717616449.0,321297548.0,5.0,FIC de Fundo de Ações,0
6,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,100000.0,a0W3u000009PCs3EAG,-75370999.0,55046871256.0,128527737.0,12858602676.0,205447212.0,5.0,FIC de Fundo de Ações,0
7,20% sobre o que exceder a 100% do IBRX,15%,Renda Variável,100000.0,a0W3u000009PCs8EAG,143224867.0,11910133483.0,396517611.0,0.0,249716187.0,5.0,Fundo de Ações,0
8,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,250000.0,a0W3u000009PDsgEAG,-156812322.0,240604602.0,-65609068.0,0.0,92656218.0,4.0,FIC de Fundo Multimercado,2
9,Não,Come Cotas,Renda Fixa,50000.0,a0W3u000009PDzcEAG,31427825.0,2064051227.0,70402727.0,0.0,38852796.0,4.0,FIC de Fundo Multimercado,1
10,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,50000.0,a0W3u000009PE0GEAW,1222707.0,4867298758.0,168076057.0,8882442514.0,166832951.0,5.0,FIC de Fundo de Ações,0
11,Não,Come Cotas,Renda Fixa,10000.0,a0W3u000009PE4XEAW,235973859.0,6425640007.0,64557059.0,3279837187.0,64557059.0,4.0,FIC de Fundo Multimercado,1
12,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,100000.0,a0W3u000009PE5LEAW,-91934606.0,17823313228632.0,-6942398.0,258216069.0,85780831.0,4.0,FIC de Fundo Multimercado,1
13,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,30000.0,a0W3u000009PE5fEAG,52621277.0,181473856053597.0,55320016.0,2530796619.0,2684612.0,3.0,FIC de Fundo de Renda Fixa,1
14,20% sobre o que exceder a 100% do IMA-B5,Come Cotas,Renda Fixa,50000.0,a0W3u000009PE6YEAW,48299084.0,6418558314.0,58633625.0,385331063.0,10284866.0,3.0,FIC de Fundo de Renda Fixa,1
15,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,10000.0,a0W3u000009PE8yEAG,8059038.0,7886436609.0,194721516.0,7750520875.0,186512167.0,5.0,FIC de Fundo de Ações,0
16,Não,Come Cotas,Renda Fixa,10000.0,a0W3u000009PE9DEAW,37665165.0,189960128895.0,42702958.0,2296856288.0,5018889.0,3.0,Fundo de Renda Fixa,1
17,20% sobre o que exceder a 100% do IMAB,Come Cotas,Renda Fixa,50000.0,a0W3u000009PE9IEAW,19601204.0,13368479814.0,56040298.0,5263201052.0,36367809.0,3.0,FIC de Fundo de Renda Fixa,1
18,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,50000.0,a0W3u00000AdCOcEAN,-204142285.0,17051648785.0,71180676.0,12432924167.0,281060597.0,5.0,Fundo de Ações,0
19,20% sobre o que exceder a 100% do CDI,15%,Renda Variável,100000.0,a0W3u00000AdCRlEAN,-3795336.0,5369869719.0,246415068.0,13829935703.0,250305403.0,5.0,FIC de Fundo de Ações,0
20,Não,Come Cotas,Renda Fixa,5000.0,a0W3u00000AdCmFEAV,41277357.0,120308177322.0,45247922.0,2480181301.0,3954243.0,3.0,Fundo de Renda Fixa,1
21,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,50000.0,a0W3u00000AdCnhEAF,212167126.0,32798796244.0,32888664.0,919619676.0,11429456.0,5.0,FIC de Fundo de Ações,0
22,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,50000.0,a0W3u00000AdCuTEAV,12358777.0,20883754928.0,35211006.0,4066262613.0,22824021.0,4.0,FIC de Fundo Multimercado,1
23,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,200000.0,a0W3u00000AdDrkEAF,-15325134.0,121196942131034.0,-14520401.0,2645314501.0,805968.0,4.0,FIC de Fundo Multimercado,2
24,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,200000.0,a0W3u00000AdDrzEAF,157052882.0,3.78019511201799e+16,268791889.0,0.0,110011249.0,5.0,FIC de Fundo Multimercado,2
25,Não,Come Cotas,Renda Fixa,10000.0,a0W3u00000AdDsOEAV,36162584.0,99249556102.0,34250404.0,2359749352.0,-190529.0,3.0,Fundo de Renda Fixa,1
26,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,10000.0,a0W3u00000AdDtWEAV,77417819.0,6819272828.0,193662524.0,9270198333.0,115351678.0,5.0,FIC de Fundo de Ações,0
27,20% sobre o que exceder a 105% do CDI,Come Cotas,Renda Fixa,10000.0,a0W3u00000AdDutEAF,43954642.0,7595866893.0,4.64086799999999e+16,0.0,2443298.0,4.0,FIC de Fundo Multimercado,3
28,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,100000.0,a0W3u00000AdEEoEAN,97350344.0,17314084782.0,176682077.0,322621968.0,78566881.0,4.0,FIC de Fundo Multimercado,1
29,Não,Come Cotas,Renda Fixa,10000.0,a0W3u00000AdEFNEA3,33902555.0,88861672845.0,34982188.0,2232569167.0,1075986.0,2.0,Fundo de Renda Fixa,1
30,Não,Come Cotas,Renda Fixa,10000.0,a0W3u00000AdEFmEAN,36073706.0,41002266986.0,33820327.0,0.0,-2245279.0,4.0,Fundo de Renda Fixa,1
31,Não,Come Cotas,Renda Fixa,10000.0,a0W3u00000AdEGBEA3,42041219.0,232866271722.0,42259599.0,2494551578.0,217466.0,3.0,Fundo de Renda Fixa,1
32,20% sobre o que exceder a 100% do IMAB,Come Cotas,Renda Fixa,50000.0,a0W3u00000AdEYCEA3,-210225771.0,99043223377.0,-1.48680489999999e+16,9415605442.0,62866905.0,5.0,FIC de Fundo Multimercado,0
33,Não,Come Cotas,Renda Fixa,1000.0,a0W3u00000AdFaXEAV,4546831.0,10858497082.0,48348429.0,0.0,2867083.0,4.0,FIC de Fundo Multimercado,1
34,Não,Come Cotas,Renda Fixa,10000.0,a0W3u00000AdFb1EAF,44135845.0,15545658114.0,46826919.0,2326054371.0,2679249.0,4.0,FIC de Fundo Multimercado,1
