"ProdutoId";"TipoCarteira__c";"NomeInvestimento__c"
a0W3u000009PBddEAG;"";CDB
a0W3u000009PBdeEAG;"";CDB
a0W3u000009PBdfEAG;"";CDB
a0W3u000009PBdgEAG;"";CDB
a0W3u000009PBdhEAG;"";CDB
a0W3u000009PBdiEAG;"";CDB
a0W3u000009PBdjEAG;"";CDB
a0W3u000009PBdkEAG;"";CDB
a0W3u000009PBdlEAG;"";CDB
a0W3u000009PBdmEAG;"";CDB
a0W3u000009PBdnEAG;"";CDB
a0W3u000009PBdoEAG;"";CDB
a0W3u000009PBdpEAG;"";CDB
a0W3u000009PBdqEAG;"";CDB
a0W3u000009PBdrEAG;"";CDB
a0W3u000009PBdsEAG;"";CDB
a0W3u000009PBdtEAG;"";CDB
a0W3u000009PBduEAG;"";CDB
a0W3u000009PBdvEAG;"";LCA
a0W3u000009PBdwEAG;"";LCA
a0W3u000009PBdxEAG;"";CDB
a0W3u000009PBdyEAG;"";CDB
a0W3u000009PBdzEAG;"";CDB
a0W3u000009PBe0EAG;"";CDB
a0W3u000009PBe1EAG;"";CDB
a0W3u000009PBe2EAG;"";CDB
a0W3u000009PBe3EAG;"";CDB
a0W3u000009PBe4EAG;"";CDB
a0W3u000009PBe5EAG;"";CDB
a0W3u000009PBe6EAG;"";CDB
a0W3u000009PBe7EAG;"";CDB
a0W3u000009PBe8EAG;"";CDB
a0W3u000009PBe9EAG;"";LCI
a0W3u000009PBeAEAW;"";LCI
a0W3u000009PBeBEAW;"";LCI
a0W3u000009PBeHEAW;"";CDB
a0W3u000009PBeIEAW;"";CDB
a0W3u000009PBeJEAW;"";CDB
a0W3u000009PBevEAG;FIC de Fundo de Ações;EQUITAS SELECTION MÃO AMIGA FIC AÇÕES
a0W3u000009PBf0EAG;"";CDB
a0W3u000009PBfAEAW;FIC de Fundo de Ações;EQUITAS SELECTION FIC FIA
a0W3u000009PBiEEAW;"";CDB
a0W3u000009PBiJEAW;"";CDB
a0W3u000009PBiOEAW;"";CDB
a0W3u000009PBiTEAW;"";CDB
a0W3u000009PBiYEAW;"";CDB
a0W3u000009PBidEAG;"";CDB
a0W3u000009PBiiEAG;"";CDB
a0W3u000009PBinEAG;"";CDB
a0W3u000009PBisEAG;"";CDB
a0W3u000009PBixEAG;"";CDB
a0W3u000009PBj2EAG;"";CDB
a0W3u000009PBj7EAG;"";CDB
a0W3u000009PBjCEAW;"";CDB
a0W3u000009PBjHEAW;"";CDB
a0W3u000009PBjMEAW;"";CDB
a0W3u000009PBjREAW;"";CDB
a0W3u000009PBjWEAW;"";CDB
a0W3u000009PBjbEAG;"";CDB
a0W3u000009PBjlEAG;"";LCI
a0W3u000009PBjqEAG;"";LCI
a0W3u000009PBjvEAG;"";LC
a0W3u000009PBk0EAG;"";LCI
a0W3u000009PBk5EAG;"";LC
a0W3u000009PBkAEAW;"";LC
a0W3u000009PBkBEAW;"";LC
a0W3u000009PBkFEAW;"";CDB
a0W3u000009PBkKEAW;"";CDB
a0W3u000009PBkPEAW;"";CDB
a0W3u000009PBkUEAW;"";LC
a0W3u000009PBkZEAW;"";CDB
a0W3u000009PBlwEAG;FIC de Fundo de Ações;TRIGONO FLAGSHIP SMALL CAPS FIC FIA
a0W3u000009PBm6EAG;Fundo de Ações;TRIGONO VERBIER  FIA
a0W3u000009PBpBEAW;"";CDB
a0W3u000009PBpGEAW;"";CDB
a0W3u000009PBpLEAW;"";CDB
a0W3u000009PBpQEAW;"";CDB
a0W3u000009PBpVEAW;"";CDB
a0W3u000009PBpaEAG;"";CDB
a0W3u000009PBpfEAG;"";CDB
a0W3u000009PBpkEAG;"";CDB
a0W3u000009PBppEAG;"";LCA
a0W3u000009PBpuEAG;"";CDB
a0W3u000009PBpzEAG;"";CDB
a0W3u000009PBq4EAG;"";CDB
a0W3u000009PBq9EAG;"";CDB
a0W3u000009PBqEEAW;"";CDB
a0W3u000009PBqJEAW;"";CDB
a0W3u000009PBqOEAW;"";CDB
a0W3u000009PBqTEAW;"";CDB
a0W3u000009PBqYEAW;"";CDB
a0W3u000009PBqdEAG;"";CDB
a0W3u000009PBqnEAG;"";CDB
a0W3u000009PBqsEAG;"";CDB
a0W3u000009PBqxEAG;"";LCI
a0W3u000009PBr2EAG;"";CDB
a0W3u000009PBr3EAG;"";CDB
a0W3u000009PBr7EAG;"";CDB
a0W3u000009PBrCEAW;"";CDB
a0W3u000009PBsZEAW;"";CDB
a0W3u000009PBsjEAG;"";CDB
a0W3u000009PBvvEAG;"";CDB
a0W3u000009PBw0EAG;"";CDB
a0W3u000009PBw5EAG;"";CDB
a0W3u000009PBwAEAW;"";CDB
a0W3u000009PBwFEAW;"";CDB
a0W3u000009PBwKEAW;"";CDB
a0W3u000009PBwPEAW;"";CDB
a0W3u000009PBwUEAW;"";CDB
a0W3u000009PBwZEAW;"";CDB
a0W3u000009PBweEAG;"";CDB
a0W3u000009PBwjEAG;"";CDB
a0W3u000009PBwoEAG;"";CDB
a0W3u000009PBwtEAG;"";CDB
a0W3u000009PBwyEAG;"";CDB
a0W3u000009PBx3EAG;"";CDB
a0W3u000009PBx8EAG;"";CDB
a0W3u000009PBxDEAW;"";CDB
a0W3u000009PBxIEAW;"";LCA
a0W3u000009PBxNEAW;"";LCA
a0W3u000009PBxSEAW;"";CDB
a0W3u000009PBxXEAW;"";CDB
a0W3u000009PBxcEAG;"";CDB
a0W3u000009PBxmEAG;"";CDB
a0W3u000009PBxrEAG;"";CDB
a0W3u000009PBxwEAG;"";LCI
a0W3u000009PBy1EAG;"";LCI
a0W3u000009PBy6EAG;"";LCI
a0W3u000009PByBEAW;"";LCI
a0W3u000009PByGEAW;"";CDB
a0W3u000009PByLEAW;"";CDB
a0W3u000009PByQEAW;"";CDB
a0W3u000009PByVEAW;"";CDB
a0W3u000009PByaEAG;"";CDB
a0W3u000009PByfEAG;"";CDB
a0W3u000009PBykEAG;"";CDB
a0W3u000009PBzsEAG;"";CDB
a0W3u000009PBzxEAG;"";CDB
a0W3u000009PC02EAG;"";CDB
a0W3u000009PC0CEAW;"";LCI
a0W3u000009PC0MEAW;"";CDB
a0W3u000009PC0WEAW;"";CDB
a0W3u000009PC0gEAG;"";CDB
a0W3u000009PC0lEAG;"";CDB
a0W3u000009PC0qEAG;"";CDB
a0W3u000009PC0vEAG;"";CDB
a0W3u000009PC10EAG;"";CDB
a0W3u000009PC15EAG;"";CDB
a0W3u000009PC1AEAW;"";CDB
a0W3u000009PC1FEAW;"";CDB
a0W3u000009PC1KEAW;"";CDB
a0W3u000009PC8gEAG;"";LCA
a0W3u000009PC8lEAG;"";CDB
a0W3u000009PC8qEAG;"";CDB
a0W3u000009PC8vEAG;"";CDB
a0W3u000009PC90EAG;"";CDB
a0W3u000009PC95EAG;"";CDB
a0W3u000009PC9AEAW;"";CDB
a0W3u000009PC9FEAW;"";CDB
a0W3u000009PC9KEAW;"";CDB
a0W3u000009PC9PEAW;"";CDB
a0W3u000009PC9UEAW;"";CDB
a0W3u000009PC9ZEAW;"";CDB
a0W3u000009PC9eEAG;"";CDB
a0W3u000009PC9jEAG;"";CDB
a0W3u000009PC9oEAG;"";CDB
a0W3u000009PC9tEAG;"";CDB
a0W3u000009PC9yEAG;"";CDB
a0W3u000009PCA3EAO;"";CDB
a0W3u000009PCA8EAO;"";CDB
a0W3u000009PCADEA4;"";CDB
a0W3u000009PCAIEA4;"";CDB
a0W3u000009PCANEA4;"";CDB
a0W3u000009PCASEA4;"";CDB
a0W3u000009PCAXEA4;"";CDB
a0W3u000009PCAcEAO;"";CDB
a0W3u000009PCAhEAO;"";CDB
